,0
2020-03-11,4
2020-03-12,4
2020-03-13,11
2020-03-14,15
2020-03-15,12
2020-03-16,25
2020-03-17,11
2020-03-18,29
2020-03-19,46
2020-03-20,39
2020-03-21,48
2020-03-22,65
2020-03-23,51
2020-03-24,38
2020-03-25,70
2020-03-26,110
2020-03-27,132
2020-03-28,131
2020-03-29,145
2020-03-30,101
2020-03-31,121
2020-04-01,163
2020-04-02,132
2020-04-03,178
2020-04-04,202
2020-04-05,253
2020-04-06,296
2020-04-07,346
2020-04-08,396
2020-04-09,260
2020-04-10,403
2020-04-11,375
2020-04-12,442
2020-04-13,353
2020-04-14,385
2020-04-15,448
2020-04-16,450
2020-04-17,578
2020-04-18,622
2020-04-19,764
2020-04-20,511
2020-04-21,729
2020-04-22,1043
2020-04-23,1089
2020-04-24,1239
2020-04-25,970
2020-04-26,835
2020-04-27,852
2020-04-28,1223
2020-04-29,1047
2020-04-30,1425
2020-05-01,1515
2020-05-02,1349
2020-05-03,1383
2020-05-04,1434
2020-05-05,1120
2020-05-06,1609
2020-05-07,1982
2020-05-08,1906
2020-05-09,1938
2020-05-10,1562
2020-05-11,1305
2020-05-12,1997
2020-05-13,1862
2020-05-14,2409
2020-05-15,2437
2020-05-16,2112
2020-05-17,2075
2020-05-18,2414
2020-05-19,2713
2020-05-20,2248
2020-05-21,2973
2020-05-22,2960
2020-05-23,3329
2020-05-24,2764
2020-05-25,2485
2020-05-26,3455
2020-05-27,3463
2020-05-28,3377
2020-05-29,3227
2020-05-30,2885
2020-05-31,3152
2020-06-01,2771
2020-06-02,3891
2020-06-03,3912
2020-06-04,4442
2020-06-05,4346
2020-06-06,3593
2020-06-07,3484
2020-06-08,2999
2020-06-09,4199
2020-06-10,4883
2020-06-11,4790
2020-06-12,5222
2020-06-13,3494
2020-06-14,4147
2020-06-15,3427
2020-06-16,4599
2020-06-17,4930
2020-06-18,5662
2020-06-19,5030
2020-06-20,4717
2020-06-21,5343
2020-06-22,4577
2020-06-23,6288
2020-06-24,5437
2020-06-25,6104
2020-06-26,5441
2020-06-27,4410
2020-06-28,4050
2020-06-29,3805
2020-06-30,5432
2020-07-01,5681
2020-07-02,6741
2020-07-03,6740
2020-07-04,6914
2020-07-05,4683
2020-07-06,4902
2020-07-07,6258
2020-07-08,6995
2020-07-09,7280
2020-07-10,6891
2020-07-11,6094
2020-07-12,4482
2020-07-13,4685
2020-07-14,7051
2020-07-15,6149
2020-07-16,6406
2020-07-17,7257
2020-07-18,7615
2020-07-19,5311
2020-07-20,5172
2020-07-21,6859
2020-07-22,6019
2020-07-23,8438
2020-07-24,7573
2020-07-25,6751
2020-07-26,5480
2020-07-27,4973
2020-07-28,7208
2020-07-29,5752
2020-07-30,7730
2020-07-31,8458
2020-08-01,9556
2020-08-02,4853
2020-08-03,4767
2020-08-04,6148
2020-08-05,6139
2020-08-06,6590
2020-08-07,6717
2020-08-08,6495
2020-08-09,4376
2020-08-10,5558
2020-08-11,6686
2020-08-12,5858
2020-08-13,7371
2020-08-14,5618
2020-08-15,6345
2020-08-16,4448
2020-08-17,3571
2020-08-18,5506
2020-08-19,5792
2020-08-20,6775
2020-08-21,5928
2020-08-22,6482
2020-08-23,3948
2020-08-24,3541
2020-08-25,4916
2020-08-26,5267
2020-08-27,6026
2020-08-28,5824
2020-08-29,5974
2020-08-30,4129
2020-08-31,3719
2020-09-01,6476
2020-09-02,4921
2020-09-03,5937
2020-09-04,6196
2020-09-05,6319
2020-09-06,4614
2020-09-07,3486
2020-09-08,5351
2020-09-09,4647
2020-09-10,4857
2020-09-11,5935
2020-09-12,5674
2020-09-13,4408
2020-09-14,3335
2020-09-15,4771
2020-09-16,4444
2020-09-17,3182
2020-09-18,4841
2020-09-19,5167
2020-09-20,3542
2020-09-21,2917
2020-09-22,4683
2020-09-23,4786
2020-09-24,5408
2020-09-25,5401
2020-09-26,5573
2020-09-27,3886
2020-09-28,3400
2020-09-29,4446
2020-09-30,5053
2020-10-01,5099
2020-10-02,4775
2020-10-03,4863
2020-10-04,3712
2020-10-05,28115
2020-10-06,4828
2020-10-07,4580
2020-10-08,5300
2020-10-09,5263
2020-10-10,4577
2020-10-11,3175
2020-10-12,3542
2020-10-13,4295
2020-10-14,4056
2020-10-15,5514
2020-10-16,6751
2020-10-17,5447
2020-10-18,4119
2020-10-19,3699
2020-10-20,5788
2020-10-21,6845
2020-10-22,6612
2020-10-23,6604
2020-10-24,6025
2020-10-25,4360
2020-10-26,4166
2020-10-27,5942
2020-10-28,5595
2020-10-29,5948
2020-10-30,6000
2020-10-31,6151
2020-11-01,4430
2020-11-02,3763
2020-11-03,5250
2020-11-04,5225
2020-11-05,5567
2020-11-06,5931
2020-11-07,6810
2020-11-08,5887
2020-11-09,4960
2020-11-10,5746
2020-11-11,7646
2020-11-12,5658
2020-11-13,5558
2020-11-14,5860
2020-11-15,3269
2020-11-16,2874
2020-11-17,1757
2020-11-18,3918
2020-11-19,4472
2020-11-20,6426
2020-11-21,6719
2020-11-22,9187
2020-11-23,7483
2020-11-24,10794
2020-11-25,10335
2020-11-26,8107
2020-11-27,12081
2020-11-28,10008
2020-11-29,6388
2020-11-30,6472
2020-12-01,8819
2020-12-02,11251
2020-12-03,11030
2020-12-04,12127
