,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,0
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,2
2020-03-24,1
2020-03-25,1
2020-03-26,2
2020-03-27,4
2020-03-28,4
2020-03-29,4
2020-03-30,8
2020-03-31,1
2020-04-01,8
2020-04-02,13
2020-04-03,10
2020-04-04,19
2020-04-05,15
2020-04-06,31
2020-04-07,16
2020-04-08,33
2020-04-09,20
2020-04-10,39
2020-04-11,40
2020-04-12,23
2020-04-13,36
2020-04-14,74
2020-04-15,43
2020-04-16,37
2020-04-17,60
2020-04-18,104
2020-04-19,36
2020-04-20,26
2020-04-21,145
2020-04-22,113
2020-04-23,99
2020-04-24,152
2020-04-25,84
2020-04-26,46
2020-04-27,83
2020-04-28,135
2020-04-29,163
2020-04-30,127
2020-05-01,113
2020-05-02,89
2020-05-03,93
2020-05-04,117
2020-05-05,236
2020-05-06,197
2020-05-07,257
2020-05-08,199
2020-05-09,193
2020-05-10,112
2020-05-11,108
2020-05-12,353
2020-05-13,294
2020-05-14,257
2020-05-15,290
2020-05-16,278
2020-05-17,132
2020-05-18,155
2020-05-19,334
2020-05-20,424
2020-05-21,420
2020-05-22,479
2020-05-23,190
2020-05-24,215
2020-05-25,239
2020-05-26,501
2020-05-27,463
2020-05-28,447
2020-05-29,371
2020-05-30,364
2020-05-31,151
2020-06-01,237
2020-06-02,470
2020-06-03,1092
2020-06-04,816
2020-06-05,625
2020-06-06,341
2020-06-07,188
2020-06-08,354
2020-06-09,596
2020-06-10,708
2020-06-11,587
2020-06-12,504
2020-06-13,424
2020-06-14,269
2020-06-15,439
2020-06-16,730
2020-06-17,770
2020-06-18,667
2020-06-19,647
2020-06-20,387
2020-06-21,1044
2020-06-22,759
2020-06-23,793
2020-06-24,947
2020-06-25,736
2020-06-26,719
2020-06-27,602
2020-06-28,267
2020-06-29,473
2020-06-30,648
2020-07-01,741
2020-07-02,679
2020-07-03,654
2020-07-04,523
2020-07-05,273
2020-07-06,480
2020-07-07,895
2020-07-08,782
2020-07-09,730
2020-07-10,665
2020-07-11,539
2020-07-12,276
2020-07-13,485
2020-07-14,836
2020-07-15,579
2020-07-16,668
2020-07-17,736
2020-07-18,578
2020-07-19,296
2020-07-20,301
2020-07-21,915
2020-07-22,790
2020-07-23,718
2020-07-24,737
2020-07-25,729
2020-07-26,306
2020-07-27,342
2020-07-28,854
2020-07-29,485
2020-07-30,639
2020-07-31,688
2020-08-01,784
2020-08-02,274
2020-08-03,266
2020-08-04,857
2020-08-05,829
